ename,node,var,state,period,value
e2.hhwt.ac_Q,e2.hhwt,ac,Q,5,0
e2.ac.hhwt_Q,e2.ac,hhwt,Q,5,0
e2.ct.ac_Q,e2.ct,ac,Q,5,0
e2.ac.ct_Q,e2.ac,ct,Q,5,0
e2.ec.cwt_Q,e2.ec,cwt,Q,5,0
e2.cwt.ec_Q,e2.cwt,ec,Q,5,0
e2.ice.ec_Q,e2.ice,ec,Q,5,-17199
e2.ec.ice_Q,e2.ec,ice,Q,5,17199
e2.ice.cwt_Q,e2.ice,cwt,Q,5,0
e2.cwt.ice_Q,e2.cwt,ice,Q,5,0
e2.dhwt.loss_Q,e2.dhwt,loss,Q,5,-159
e2.dhwt.storage_Q,e2.dhwt,storage,Q,5,0
e2.hhwt.loss_Q,e2.hhwt,loss,Q,5,-1808
e2.hhwt.storage_Q,e2.hhwt,storage,Q,5,0
e2.ice.storage_Q,e2.ice,storage,Q,5,17199
e2.sc.IDN_Q,e2.sc,IDN,Q,5,0
e2.dhwt.electric_Q,e2.dhwt,electric,Q,5,1968
e2.dhw.Demand_Q,e2.dhw,Demand,Q,5,0
e2.ct.rejected_Q,e2.ct,rejected,Q,5,0
e2.ahu.Demand_Q,e2.ahu,Demand,Q,5,0
e2.ec.electric_Q,e2.ec,electric,Q,5,0
e2.ec.rejected_Q,e2.ec,rejected,Q,5,-22854
e2.ec.electric.ice_Q,e2.ec,electric.ice,Q,5,5654
e2.dhwt.loss_D,e2.dhwt,loss,D,5,7
e2.hhwt.loss_D,e2.hhwt,loss,D,5,8
e2.dhwt.storage_J,e2.dhwt,storage,J,5,0
e2.hhwt.storage_J,e2.hhwt,storage,J,5,0
e2.ice.storage_J,e2.ice,storage,J,5,-309599999
e2.dhw.dhwt_Q,e2.dhw,dhwt,Q,6,0
e2.dhwt.dhw_Q,e2.dhwt,dhw,Q,6,0
e2.hhwt.dhwt_Q,e2.hhwt,dhwt,Q,6,1807
e2.dhwt.hhwt_Q,e2.dhwt,hhwt,Q,6,-1807
e2.hx.hhwt_Q,e2.hx,hhwt,Q,6,0
e2.hhwt.hx_Q,e2.hhwt,hx,Q,6,0
e2.sc.hx_Q,e2.sc,hx,Q,6,0
e2.hx.sc_Q,e2.hx,sc,Q,6,0
e2.hhwt.ahu_Q,e2.hhwt,ahu,Q,6,0
e2.ahu.heat_Q,e2.ahu,heat,Q,6,0
e2.cwt.ahu_Q,e2.cwt,ahu,Q,6,0
e2.ahu.cool_Q,e2.ahu,cool,Q,6,0
e2.ac.cwt_Q,e2.ac,cwt,Q,6,0
e2.cwt.ac_Q,e2.cwt,ac,Q,6,0
e2.hhwt.ac_Q,e2.hhwt,ac,Q,6,0
e2.ac.hhwt_Q,e2.ac,hhwt,Q,6,0
e2.ct.ac_Q,e2.ct,ac,Q,6,0
e2.ac.ct_Q,e2.ac,ct,Q,6,0
e2.ec.cwt_Q,e2.ec,cwt,Q,6,0
e2.cwt.ec_Q,e2.cwt,ec,Q,6,0
e2.ice.ec_Q,e2.ice,ec,Q,6,-17199
e2.ec.ice_Q,e2.ec,ice,Q,6,17199
e2.ice.cwt_Q,e2.ice,cwt,Q,6,0
e2.cwt.ice_Q,e2.cwt,ice,Q,6,0
e2.dhwt.loss_Q,e2.dhwt,loss,Q,6,-159
e2.dhwt.storage_Q,e2.dhwt,storage,Q,6,0
e2.hhwt.loss_Q,e2.hhwt,loss,Q,6,-1808
e2.hhwt.storage_Q,e2.hhwt,storage,Q,6,0
e2.ice.storage_Q,e2.ice,storage,Q,6,17199
e2.sc.IDN_Q,e2.sc,IDN,Q,6,0
e2.dhwt.electric_Q,e2.dhwt,electric,Q,6,1967
e2.dhw.Demand_Q,e2.dhw,Demand,Q,6,0
e2.ct.rejected_Q,e2.ct,rejected,Q,6,0
e2.ahu.Demand_Q,e2.ahu,Demand,Q,6,0
e2.ec.electric_Q,e2.ec,electric,Q,6,0
e2.ec.rejected_Q,e2.ec,rejected,Q,6,-22854
e2.ec.electric.ice_Q,e2.ec,electric.ice,Q,6,5654
e2.dhwt.loss_D,e2.dhwt,loss,D,6,7
e2.hhwt.loss_D,e2.hhwt,loss,D,6,8
e2.dhwt.storage_J,e2.dhwt,storage,J,6,0
e2.hhwt.storage_J,e2.hhwt,storage,J,6,0
e2.ice.storage_J,e2.ice,storage,J,6,-371519999
e2.dhw.dhwt_Q,e2.dhw,dhwt,Q,7,0
e2.dhwt.dhw_Q,e2.dhwt,dhw,Q,7,0
e2.hhwt.dhwt_Q,e2.hhwt,dhwt,Q,7,-159
e2.dhwt.hhwt_Q,e2.dhwt,hhwt,Q,7,159
e2.hx.hhwt_Q,e2.hx,hhwt,Q,7,-1967
e2.hhwt.hx_Q,e2.hhwt,hx,Q,7,1967
e2.sc.hx_Q,e2.sc,hx,Q,7,-1967
e2.hx.sc_Q,e2.hx,sc,Q,7,1967
e2.hhwt.ahu_Q,e2.hhwt,ahu,Q,7,0
e2.ahu.heat_Q,e2.ahu,heat,Q,7,0
e2.cwt.ahu_Q,e2.cwt,ahu,Q,7,0
e2.ahu.cool_Q,e2.ahu,cool,Q,7,0
e2.ac.cwt_Q,e2.ac,cwt,Q,7,0
e2.cwt.ac_Q,e2.cwt,ac,Q,7,0
e2.hhwt.ac_Q,e2.hhwt,ac,Q,7,0
e2.ac.hhwt_Q,e2.ac,hhwt,Q,7,0
e2.ct.ac_Q,e2.ct,ac,Q,7,0
e2.ac.ct_Q,e2.ac,ct,Q,7,0
